trip_id,lat,lon,pickup_time,dropoff_time,distance_km,duration_sec,cost,car_model,car_cat,gender,gps_points,max_speed,avg_speed
1195598,,,2016-01-30 19:06:11,2016-01-30 19:57:28,33.36,0,,Prado,,female,594,139.8,37.4
1195595,,,2016-01-30 18:44:48,2016-01-30 20:08:35,25.43,0,,Prado,,female,984,111.1,18.2
1195588,,,2016-01-30 18:47:42,2016-01-30 19:37:25,30.2,0,,Fortuner,,female,606,127.8,27.8
1195567,,,2016-01-30 18:02:20,2016-01-30 18:12:04,5.1,0,,Taurus,,female,115,68.7,31.4
1195568,,,2016-01-30 17:55:54,2016-01-30 18:43:23,42.45,0,,Prado,,female,548,148.1,50.6
1195566,,,2016-01-30 18:10:23,2016-01-30 19:26:12,51.77,0,,Fortuner,,N/A,914,149.5,19.7
1195562,,,2016-01-30 17:56:57,2016-01-30 18:08:24,10.64,0,,Camry,,female,156,133.5,51.8
1195549,,,2016-01-30 17:17:26,2016-01-30 17:42:56,24.19,0,,Sonata,,male,303,150.5,54.4
1195540,,,2016-01-30 17:18:35,2016-01-30 17:40:32,17.31,0,,Fortuner ,,female,242,147.6,43.4
1195537,,,2016-01-30 17:22:53,2016-01-30 17:48:28,19.26,0,,Fortuner,,female,253,116.6,37.2
1195535,,,2016-01-30 17:05:16,2016-01-30 17:55:47,0.0,0,,Tuscan,,N/A,585,12047.7,169.4
1195534,,,2016-01-30 17:06:50,2016-01-30 17:17:25,2.83,0,,Sportage (KIA),,female,106,60.3,16.1
1195524,,,2016-01-30 16:40:55,2016-01-30 17:01:51,17.81,0,,Innova,,female,225,99.1,43.7
1195523,,,2016-01-30 16:51:37,2016-01-30 16:56:21,1.74,0,,Innova,,male,76,73.6,22.2
1195520,,,2016-01-30 16:38:13,2016-01-30 16:50:20,10.77,0,,Fortuner,,female,164,131.2,53.5
1195516,,,2016-01-30 16:56:11,2016-01-30 17:27:02,17.82,0,,Fortuner,,female,369,124.4,31.7
1195514,,,2016-01-30 16:45:07,2016-01-30 17:40:33,12.4,0,,Prado,,N/A,664,98.0,13.7
1195508,,,2016-01-30 16:24:49,2016-01-30 16:54:29,26.51,0,,Azeera,,female,369,644.6,42.1
