latitude,longitude,type,name,district
24.8120036,46.653802,Residential - Other,Unnamed,
24.8119045,46.6538494,Residential - Other,دار الإلياسية الماسية رقم (1),
24.8125049,46.6538096,Residential - Other,Unnamed,
24.8124028,46.6538627,Residential - Other,Unnamed,
24.8123017,46.6539056,Residential - Other,Unnamed,
24.8121976,46.6539607,Residential - Other,Unnamed,
24.8120934,46.654016,Residential - Other,Unnamed,
24.8119845,46.6540581,Residential - Other,Unnamed,
24.8121996,46.655647,Residential - Other,Unnamed,
24.8120061,46.6551681,Residential - Other,Unnamed,
24.8119535,46.6550381,Residential - Other,Unnamed,
24.8120689,46.6553385,Residential - Other,Unnamed,
24.811771,46.6545981,Residential - Other,Unnamed,
24.8119531,46.6545043,Residential - Other,Unnamed,
24.8120069,46.6546204,Residential - Other,Unnamed,
24.8120496,46.6547386,Residential - Other,Unnamed,
24.8120987,46.6548511,Residential - Other,Unnamed,
24.8121458,46.6549559,Residential - Other,Unnamed,
24.8121918,46.6550718,Residential - Other,Unnamed,
24.8122389,46.6551764,Residential - Other,Unnamed,
24.8122799,46.6552923,Residential - Other,Unnamed,
24.812333,46.655406,Residential - Other,Unnamed,
24.812379,46.6555151,Residential - Other,Unnamed,
24.8106984,46.6491982,Residential - Other,Unnamed,
24.8104657,46.6494191,Residential - Other,Unnamed,
24.8105578,46.6496938,Residential - Other,Unnamed,
24.8107411,46.6500546,Residential - Other,Unnamed,
24.8108132,46.6502377,Residential - Other,Unnamed,
24.810887,46.6504131,Residential - Other,Unnamed,
24.8106727,46.6498684,Residential - Other,Unnamed,
24.8107893,46.6494303,Residential - Other,Unnamed,
24.8108265,46.6495625,Residential - Other,Unnamed,
24.8108981,46.649753,Residential - Other,Unnamed,
24.8109873,46.6499339,Residential - Other,Unnamed,
24.8101191,46.6497619,Residential - Other,Unnamed,
24.8098936,46.6498548,Residential - Other,Unnamed,
24.8101758,46.6499124,Residential - Other,Unnamed,
24.8099541,46.6500228,Residential - Other,Unnamed,
24.810008,46.6501667,Residential - Other,Unnamed,
24.8102298,46.6500562,Residential - Other,Unnamed,
24.8100882,46.6503223,Residential - Other,Unnamed,
24.8103051,46.6501843,Residential - Other,Unnamed,
24.8103575,46.6503247,Residential - Other,Unnamed,
24.810168,46.6505445,Residential - Other,Unnamed,
24.8102495,46.650706,Residential - Other,Unnamed,
24.8103045,46.6509378,Residential - Other,Unnamed,
24.8104995,46.6506536,Residential - Other,Unnamed,
24.8103587,46.6512029,Residential - Other,Unnamed,
24.8105825,46.6507918,Residential - Other,Unnamed,
24.8107416,46.6509707,Residential - Other,Unnamed,
24.8106092,46.6510373,Residential - Other,Unnamed,
24.810486,46.6511346,Residential - Other,Unnamed,
24.8096288,46.6503497,Residential - Other,Unnamed,
24.8094332,46.6505066,Residential - Other,Unnamed,
24.8104961,46.6525323,Residential - Other,Unnamed,
24.8103094,46.6526355,Residential - Other,Unnamed,
